schoolid,schoolname,calendaryear,sprfactotal,sprftfactotal,sprftfacother,spradminfactotal,sprptfactotal,fallfactotal,fallftfactotal,fallftfacother,falladminfactotal,fallptfactotal,sprfacmen,sprftfacmen,sprotherftfacmen,spradminfacmen,sprptfacmen,fallfacmen,fallftfacmen,fallotherftfacmen,falladminfacmen,fallptfacmen,sprfacwomen,sprftfacwomen,sprotherftfacwomen,spradminfacwomen,sprptfacwomen,fallfacwomen,fallftfacwomen,fallotherftfacwomen,falladminfacwomen,fallptfacwomen,fallfacother,sprfacother,fallfacminority,sprfacminority,fallftfacminority,sprftfacminority,fallotherftfacminority,sprotherftfacminority,falladminfacother,spradminfacother,falladminfacminority,spradminfacminority,fallptfacminority,sprptfacminority,fallptfacother,sprptfacother
00132500,University of San Francisco,2012,95,32,0,12,51,92,32,1,14,45,57,18,0,5,34,58,18,0,6,34,38,14,0,7,17,34,14,1,8,11,,,23,23,12,10,0,0,,,5,4,6,9,,
00132500,University of San Francisco,2013,83,36,1,9,37,80,30,2,9,39,48,21,0,4,23,47,17,0,3,27,35,15,1,5,14,33,13,2,6,12,,,20,21,12,12,1,0,,,4,3,3,6,,
00132500,University of San Francisco,2014,84,32,,10,42,74,31,,9,34,50,17,,4,29,47,20,,3,24,34,15,,6,13,27,11,,6,10,0,0,21,23,11,15,,,0,0,2,3,8,5,0,0
00132500,University of San Francisco,2015,96,33,0,9,54,83,33,0,9,41,52,17,,3,32,54,17,,3,34,44,16,,6,22,29,16,,6,7,0,0,21,28,14,14,,,0,0,3,2,4,12,0,0
00132500,University of San Francisco,2016,102,34,0,10,58,87,34,0,12,41,61,16,,3,42,51,18,,3,30,41,18,,7,16,36,16,,9,11,0,0,24,26,14,15,,,0,0,4,3,6,8,0,0
00132600,Santa Clara University,2011,123,64,4,12,43,113,61,2,11,39,62,34,2,5,21,57,30,1,5,21,61,30,2,7,22,56,31,1,6,18,,,20,22,11,12,1,1,,,2,2,6,7,,
00132600,Santa Clara University,2012,130,60,4,11,55,101,56,2,4,39,70,32,2,5,31,47,29,1,2,15,60,28,2,6,24,54,27,1,2,24,,,24,21,13,11,0,1,,,1,2,10,7,,
00132600,Santa Clara University,2013,144,56,3,11,74,113,57,3,12,41,84,32,1,5,46,53,29,1,6,17,60,24,2,6,28,60,28,2,6,24,,,22,28,11,14,0,0,,,3,2,8,12,,
00132600,Santa Clara University,2014,117,55,,11,51,102,54,,10,38,68,29,,5,34,51,29,,5,17,49,26,,6,17,51,25,,5,21,0,0,22,20,12,11,,,0,0,2,2,8,7,0,0
00132600,Santa Clara University,2015,115,50,0,8,57,91,45,0,9,37,72,26,,4,42,39,23,,4,12,43,24,,4,15,52,22,,5,25,0,0,16,21,10,11,,,0,0,1,1,5,9,0,0
00132600,Santa Clara University,2016,118,50,0,8,60,93,44,0,8,41,65,24,,4,37,40,21,,3,16,53,26,,4,23,53,23,,5,25,0,0,18,21,9,14,,,0,0,1,1,8,6,0,0
00132800,University of Southern California,2011,141,41,2,16,82,119,45,2,16,56,92,26,0,6,60,68,30,0,6,32,49,15,2,10,22,51,15,2,10,24,,,16,19,5,6,0,0,,,4,4,7,9,,
00132800,University of Southern California,2012,145,46,1,16,82,133,46,2,17,68,90,27,0,6,57,73,26,0,7,40,55,19,1,10,25,60,20,2,10,28,,,22,18,7,6,0,0,,,4,4,11,8,,
00132800,University of Southern California,2013,147,47,2,17,81,125,43,2,17,63,95,28,0,7,60,67,24,0,6,37,52,19,2,10,21,58,19,2,11,26,,,24,22,9,8,0,0,,,4,4,11,10,,
00132800,University of Southern California,2014,126,42,,16,68,103,42,,16,45,79,23,,6,50,63,24,,7,32,47,19,,10,18,40,18,,9,13,0,0,16,16,8,8,,,0,0,3,3,5,5,0,0
00132800,University of Southern California,2015,132,45,0,14,73,116,39,0,14,63,87,28,,6,53,70,18,,6,46,45,17,,8,20,46,21,,8,17,0,0,19,16,6,8,,,0,0,4,3,9,5,0,0
00132800,University of Southern California,2016,133,40,0,14,79,115,38,0,14,63,90,23,,6,61,70,20,,5,45,43,17,,8,18,45,18,,9,18,0,0,18,20,7,8,,,0,0,4,4,7,8,0,0
00132901,McGeorge School of Law,2011,114,46,0,11,57,105,49,0,11,45,70,27,0,5,38,63,28,0,4,31,44,19,0,6,19,42,21,0,7,14,,,13,16,9,7,0,0,,,0,0,4,9,,
00132901,McGeorge School of Law,2012,99,50,1,11,37,80,43,1,11,25,59,29,1,5,24,51,25,1,6,19,40,21,0,6,13,29,18,0,5,6,,,10,16,8,9,0,0,,,0,0,2,7,,
00132901,McGeorge School of Law,2013,106,39,3,12,52,88,33,10,10,35,65,23,2,6,34,55,17,9,4,25,41,16,1,6,18,33,16,1,6,10,,,12,14,6,6,1,1,,,0,0,5,7,,
00132901,McGeorge School of Law,2014,94,37,,10,47,77,36,,9,32,55,22,,5,28,52,23,,4,25,39,15,,5,19,25,13,,5,7,0,0,11,13,7,7,,,0,0,0,0,4,6,0,0
00132901,McGeorge School of Law,2015,102,34,0,8,60,77,34,0,9,34,67,21,,3,43,48,19,,4,25,35,13,,5,17,29,15,,5,9,0,0,10,17,6,7,,,0,0,0,0,4,10,0,0
