schoolid,schoolname,calendaryear,ftrestuition,ptrestuition,ftnonrestuition,ptnonrestuition,tuitionguarind,oncampuscosts,offcampuscosts,athomecosts,schooltype
00137100,University of Denver,2014,42370,31106,42370,31106,N,16161,16161,16161,PRI
00137100,University of Denver,2015,44530,32686,44530,32686,N,16421,16421,16421,PRI
00137100,University of Denver,2016,46720,34292,46720,34292,N,17204,17204,17204,PRI
00137100,University of Denver,2017,49022,35978,49022,35978,N,18683,18683,18683,PRI
00140201,Quinnipiac University,2011,45050,31780,45050,31780,N,,19874,13746,PRI
00140201,Quinnipiac University,2012,47076,33216,47076,33216,N,,19926,13810,PRI
00140201,Quinnipiac University,2013,47076,33216,47076,33216,N,,19796,13730,PRI
00140201,Quinnipiac University,2014,47101,33241,47101,33241,N,,19612,13598,PRI
00140201,Quinnipiac University,2015,48049,33859,48049,33859,Y,,19684,13646,PRI
00140201,Quinnipiac University,2016,48085,33895,48085,33895,N,,19866,13779,PRI
00140201,Quinnipiac University,2017,48805,34395,48805,34395,N,,20040,13885,PRI
00141706,University of Connecticut,2011,22052,15392,45548,31812,N,,15050,5800,PUB
00141706,University of Connecticut,2012,22052,15392,45548,31812,N,,16726,7290,PUB
00141706,University of Connecticut,2013,24674,17222,50990,35602,N,,15506,5972,PUB
00141706,University of Connecticut,2014,26224,18296,54248,37874,N,,17550,8280,PUB
00141706,University of Connecticut,2015,27934,19502,57852,40402,N,,17510,8240,PUB
00141706,University of Connecticut,2016,28634,20202,58802,41342,N,,17482,7862,PUB
00141706,University of Connecticut,2017,29410,20982,59852,42402,N,,18986,9256,PUB
00142600,Yale University,2011,52525,,52525,,N,20150,20150,20150,PRI
00142600,Yale University,2012,53600,,53600,,N,20080,20080,20080,PRI
00142600,Yale University,2013,54650,,54650,,N,20140,20140,20140,PRI
00142600,Yale University,2014,56200,,56200,,N,20202,20202,20202,PRI
00142600,Yale University,2015,58050,,58050,,N,20276,20276,20276,PRI
00142600,Yale University,2016,59865,,59865,,N,20364,20364,20364,PRI
00142600,Yale University,2017,62170,,62170,,N,20432,20432,20432,PRI
00143401,American University,2011,45096,31622,45096,31622,N,22604,22604,22604,PRI
00143401,American University,2012,46794,32812,46794,32812,N,23410,23410,23410,PRI
00143401,American University,2013,48148,33762,48148,33762,N,22922,22922,22922,PRI
00143401,American University,2014,49542,34750,49542,34750,N,22922,22922,22922,PRI
00143401,American University,2015,51002,35776,51002,35776,N,23460,23460,23460,PRI
00143401,American University,2016,53016,37011,53016,37011,N,23862,23862,23862,PRI
00143401,American University,2017,54832,38284,54832,38284,N,23688,23688,23688,PRI
00143711,Catholic University of America,2011,41995,31975,41995,31975,N,27202,27202,27202,PRI
00143711,Catholic University of America,2012,43245,32920,43245,32920,N,25748,25748,25748,PRI
00143711,Catholic University of America,2013,44465,33950,44465,33950,N,25748,25748,25748,PRI
00143711,Catholic University of America,2014,45800,31660,45800,31660,N,25735,25735,13235,PRI
00143711,Catholic University of America,2015,46815,35655,46815,35655,N,19424,23814,10530,PRI
00143711,Catholic University of America,2016,48445,34925,48445,34925,N,19424,23814,10530,PRI
00143711,Catholic University of America,2017,49800,35770,49800,35770,N,20100,24644,10896,PRI
00144102,District of Columbia,2011,9480,7230,18330,13830,N,,31059,15075,PUB
00144102,District of Columbia,2012,11265,8565,21885,16485,N,,30200,14000,PUB
00144102,District of Columbia,2013,11265,8565,21885,16485,N,,30200,14000,PUB
00144102,District of Columbia,2014,11383,8289,22136,15948,N,27328,33328,18928,PUB
00144102,District of Columbia,2015,11516,8379,22402,16128,N,,29788,,PUB
00144102,District of Columbia,2016,13260,10049,24428,17987,N,,29790,,PUB
00144102,District of Columbia,2017,12516,9602,24030,18160,,,29890,,PUB
00144402,George Washington University,2011,45750,35376,45750,35376,Y,28650,28650,28650,PRI
00144402,George Washington University,2012,47535,36795,47535,36795,N,29765,29765,29765,PRI
00144402,George Washington University,2013,49840,36813,49840,36813,N,27770,27770,27770,PRI
00144402,George Washington University,2014,52033,38430,52033,38430,N,26007,26007,26007,PRI
00144402,George Washington University,2015,54114,40005,54114,40005,N,26007,26007,26007,PRI
00144402,George Washington University,2016,56244,41580,56244,41580,N,26286,26286,26286,PRI
00144402,George Washington University,2017,58520,43260,58520,43260,N,29600,27380,27380,PRI
00144503,Georgetown University,2011,46865,33500,46865,33500,N,23635,23635,17180,PRI
00144503,Georgetown University,2012,48835,34600,48835,34600,N,23635,23635,17180,PRI
00144503,Georgetown University,2013,50890,36000,50890,36000,N,25610,25610,25610,PRI
00144503,Georgetown University,2014,53130,37500,53130,37500,N,26670,26670,26670,PRI
00144503,Georgetown University,2015,55255,37525,55255,37525,N,27445,27445,27445,PRI
00144503,Georgetown University,2016,57576,39064,57576,39064,N,27924,27924,27924,PRI
00144503,Georgetown University,2017,59850,40630,59850,40630,N,28750,28750,28750,PRI
00144802,Howard University,2011,29131,,29131,,N,,23612,,PRI
00144802,Howard University,2012,31640,,31640,,N,,23371,,PRI
00144802,Howard University,2013,32743,,32743,,N,,25195,,PRI
00144802,Howard University,2014,33732,,33732,,N,,26076,,PRI
00144802,Howard University,2015,33832,,33832,,N,,26741,,PRI
00144802,Howard University,2016,37534,,37534,,N,26192,26192,26192,PRI
00144802,Howard University,2017,33630,,33630,,N,27616,27616,11385,PRI
