schoolid,schoolname,calendaryear,academicyear,condscholind,numenteringcondschol,numeliminatedcondschol,numstudents,ftnumstudents,ptnumstudents,totalrecvgrant,totalrecvgrantp,ftrecvgrant,ptrecvgrant,totalgrantlthalf,totalgrantlthalfp,ftgrantlthalf,ptgrantlthalf,totalgrantalhalf,totalgrantalhalfp,ftgrantalhalf,ptgrantalhalf,totalgrantfull,totalgrantfullp,ftgrantfull,ptgrantfull,totalgrantgtfull,totalgrantgtfullp,ftgrantgtfull,ptgrantgtfull,ftgrantamt75,ptgrantamt75,ftgrantamtmedian,ptgrantamtmedian,ftgrantamt25,ptgrantamt25
00131500,University of California-Los Angeles,2017,2016,N,,,979,979,0,770,78.7,770,,470,48,470,0,271,27.7,271,,9,0.9,9,,20,2,20,,30795,,21000,,13334,
00132500,University of San Francisco,2011,2010,,,,739,589,150,254,34.4,206,48,168,22.7,133,35,86,11.6,73,13,0,0,0,0,0,0,0,0,,,10000,6750,,
00132500,University of San Francisco,2012,2011,Y,0,0,712,582,130,267,37.5,220,47,177,24.9,139,38,90,12.6,81,9,0,0,0,0,0,0,0,0,27000,12500,11330,7000,6500,3500
00132500,University of San Francisco,2013,2012,Y,36,14,656,538,118,289,44.1,242,47,228,34.8,193,35,60,9.1,48,12,1,0.2,1,0,0,0,0,0,21000,16750,15000,7500,7500,3500
00132500,University of San Francisco,2014,2013,Y,29,16,561,461,100,243,43.3,195,48,211,37.6,169,42,30,5.3,24,6,2,0.4,2,0,0,0,0,0,25000,15000,20000,5000,10000,3500
00132500,University of San Francisco,2015,2014,Y,47,17,527,425,102,251,47.6,203,48,121,23,89,32,129,24.5,113,16,0,0,0,0,1,0.2,1,0,27000,20000,23000,9750,10000,3500
00132500,University of San Francisco,2016,2015,Y,49,14,528,431,97,261,49.4,217,44,104,19.7,83,21,150,28.4,130,20,4,0.8,4,0,3,0.6,0,3,33000,23000,26879,16600,10000,10000
00132500,University of San Francisco,2017,2016,Y,45,16,524,425,99,249,47.5,203,46,117,22.3,94,23,119,22.7,99,20,13,2.5,10,3,0,0,0,0,34000,26000,25000,19000,10000,10000
00132600,Santa Clara University,2011,2010,,,,983,749,234,452,46,355,97,399,40.6,322,77,32,3.3,20,12,21,2.1,13,8,0,0,0,0,,,10000,8000,,
00132600,Santa Clara University,2012,2011,Y,166,84,967,738,229,455,47.1,373,82,376,38.9,321,55,43,4.4,24,19,36,3.7,28,8,0,0,0,0,14500,16000,10000,10000,4500,6000
00132600,Santa Clara University,2013,2012,Y,107,57,880,693,187,426,48.4,326,100,348,39.5,274,74,42,4.8,28,14,36,4.1,24,12,0,0,0,0,16500,16000,12000,10500,8500,5000
