schoolid,schoolname,calendaryear,transin,transout,transout1l,transjd1gpa75,transjd1gpa50,transjd1gpa25
00181300,Indiana University - Indianapolis,2016,4,2,,,,
00181300,Indiana University - Indianapolis,2017,3,,1,0,0,0
00184000,University of Notre Dame,2011,18,4,,,,
00184000,University of Notre Dame,2012,11,10,,,,
00184000,University of Notre Dame,2013,17,10,,,,
00184000,University of Notre Dame,2014,20,7,,3.51,3.41,3.17
00184000,University of Notre Dame,2015,12,3,,3.53,3.38,3.35
00184000,University of Notre Dame,2016,16,1,,3.55,3.4,3.23
00184000,University of Notre Dame,2017,12,,0,3.49,3.29,3.26
00184200,Valparaiso University,2011,1,28,,,,
00184200,Valparaiso University,2012,1,25,,,,
00184200,Valparaiso University,2013,0,18,,,,
00184200,Valparaiso University,2014,0,17,,,,
00184200,Valparaiso University,2015,2,17,,,,
00184200,Valparaiso University,2016,0,22,,,,
00184200,Valparaiso University,2017,1,,5,0,0,0
00186000,Drake University,2011,1,8,,,,
00186000,Drake University,2012,1,5,,,,
00186000,Drake University,2013,1,5,,,,
00186000,Drake University,2014,4,3,,,,
00186000,Drake University,2015,4,3,,,,
00186000,Drake University,2016,2,1,,,,
00186000,Drake University,2017,2,,0,0,0,0
00189200,University of Iowa,2011,4,4,,,,
00189200,University of Iowa,2012,4,9,,,,
00189200,University of Iowa,2013,3,7,,,,
00189200,University of Iowa,2014,4,3,,,,
00189200,University of Iowa,2015,3,3,,,,
00189200,University of Iowa,2016,3,4,,,,
00189200,University of Iowa,2017,2,,0,0,0,0
00194800,University of Kansas,2011,17,1,,,,
00194800,University of Kansas,2012,7,6,,,,
00194800,University of Kansas,2013,6,2,,,,
00194800,University of Kansas,2014,3,0,,,,
00194800,University of Kansas,2015,1,0,,,,
00194800,University of Kansas,2016,1,3,,,,
00194800,University of Kansas,2017,1,,0,0,0,0
00194900,Washburn University,2011,6,6,,,,
00194900,Washburn University,2012,5,1,,,,
00194900,Washburn University,2013,3,4,,,,
00194900,Washburn University,2014,2,3,,,,
00194900,Washburn University,2015,1,2,,,,
00194900,Washburn University,2016,1,2,,,,
00194900,Washburn University,2017,1,,0,0,0,0
00198903,University of Kentucky,2011,9,3,,,,
00198903,University of Kentucky,2012,8,1,,,,
00198903,University of Kentucky,2013,3,1,,,,
00198903,University of Kentucky,2014,6,1,,,2.97,
00198903,University of Kentucky,2015,7,2,,,3.05,
00198903,University of Kentucky,2016,8,4,,,3.01,
00198903,University of Kentucky,2017,4,,5,0,0,0
00199900,University of Louisville,2011,8,4,,,,
00199900,University of Louisville,2012,5,2,,,,
00199900,University of Louisville,2013,4,2,,,,
00199900,University of Louisville,2014,4,6,,,,
00199900,University of Louisville,2015,2,0,,,,
00199900,University of Louisville,2016,2,1,,,,
00199900,University of Louisville,2017,0,,1,0,0,0
00201000,Louisiana State University,2011,2,6,,,,
00201000,Louisiana State University,2012,2,1,,,,
00201000,Louisiana State University,2013,3,2,,,,
00201000,Louisiana State University,2014,3,2,,,,
00201000,Louisiana State University,2015,4,6,,,,
00201000,Louisiana State University,2016,4,3,,,,
00201000,Louisiana State University,2017,3,,3,0,0,0
00201600,Loyola University-New Orleans,2011,4,4,,,,
00201600,Loyola University-New Orleans,2012,6,10,,,,
00201600,Loyola University-New Orleans,2013,0,23,,,,
00201600,Loyola University-New Orleans,2014,6,16,,,2.95,
00201600,Loyola University-New Orleans,2015,0,7,,,,
00201600,Loyola University-New Orleans,2016,0,3,,,,
00201600,Loyola University-New Orleans,2017,0,,4,0,0,0
00202500,Southern University,2011,0,5,,,,
00202500,Southern University,2012,1,8,,,,
00202500,Southern University,2013,1,10,,,,
00202500,Southern University,2014,2,11,,,,
00202500,Southern University,2015,1,4,,,,
00202500,Southern University,2016,2,8,,,,
00202500,Southern University,2017,2,,0,0,0,0
00202900,Tulane University,2011,0,13,,,,
00202900,Tulane University,2012,22,24,,,,
00202900,Tulane University,2013,16,16,,,,
00202900,Tulane University,2014,6,10,,,3.07,
00202900,Tulane University,2015,6,6,,,2.71,
00202900,Tulane University,2016,5,5,,,,
00202900,Tulane University,2017,6,,15,0,0,0
00205400,University of Maine,2011,5,0,,,,
00205400,University of Maine,2012,6,1,,,,
00205400,University of Maine,2013,6,1,,,,
00205400,University of Maine,2014,3,3,,,,
00205400,University of Maine,2015,4,5,,,,
00205400,University of Maine,2016,4,3,,,,
00205400,University of Maine,2017,5,,1,0,0,0
00210200,University of Baltimore,2011,22,26,,,,
00210200,University of Baltimore,2012,17,22,,,,
00210200,University of Baltimore,2013,5,36,,,,
00210200,University of Baltimore,2014,9,20,,,2.86,
00210200,University of Baltimore,2015,6,9,,,2.87,
00210200,University of Baltimore,2016,5,7,,,,
00210200,University of Baltimore,2017,23,,2,2.97,2.68,2.57
00210400,University of Maryland,2011,22,18,,,,
00210400,University of Maryland,2012,34,8,,,,
00210400,University of Maryland,2013,29,21,,,,
00210400,University of Maryland,2014,10,13,,,3.22,
00210400,University of Maryland,2015,10,15,,,3.28,
00210400,University of Maryland,2016,10,10,,,3.3,
00210400,University of Maryland,2017,11,,10,0,0,0
00212801,Boston College,2011,15,8,,,,
00212801,Boston College,2012,18,7,,,,
00212801,Boston College,2013,17,11,,,,
00212801,Boston College,2014,13,12,,3.43,3.37,3.16
00212801,Boston College,2015,18,12,,3.52,3.44,3.36
00212801,Boston College,2016,6,5,,,3.31,
00212801,Boston College,2017,9,,9,0,0,0
00213007,Boston University,2011,27,13,,,,
00213007,Boston University,2012,0,16,,,,
00213007,Boston University,2013,16,12,,,,
00213007,Boston University,2014,18,10,,3.65,3.5,3.43
00213007,Boston University,2015,16,9,,3.52,3.45,3.38
00213007,Boston University,2016,16,13,,3.66,3.59,3.48
00213007,Boston University,2017,5,,0,0,0,0
00215510,Harvard University,2011,30,0,,,,
00215510,Harvard University,2012,31,0,,,,
00215510,Harvard University,2013,34,0,,,,
00215510,Harvard University,2014,33,0,,3.95,3.9,3.83
00215510,Harvard University,2015,55,2,,3.98,3.92,3.85
00215510,Harvard University,2016,35,1,,4,3.94,3.88
00215510,Harvard University,2017,40,,0,3.96,3.92,3.87
00219900,Northeastern University,2011,9,2,,,,
00219900,Northeastern University,2012,7,3,,,,
00219900,Northeastern University,2013,5,6,,,,
00219900,Northeastern University,2014,16,9,,3.31,3.22,2.92
00219900,Northeastern University,2015,10,3,,,3.08,
00219900,Northeastern University,2016,8,2,,,3.19,
00219900,Northeastern University,2017,17,,0,3.38,3.22,2.87
00221007,University of Massachusetts Dartmouth,2011,0,5,,,,
00221007,University of Massachusetts Dartmouth,2012,2,2,,,,
00221007,University of Massachusetts Dartmouth,2013,1,1,,,,
00221007,University of Massachusetts Dartmouth,2014,2,10,,,,
00221007,University of Massachusetts Dartmouth,2015,1,2,,,,
00221007,University of Massachusetts Dartmouth,2016,1,4,,,,
00221007,University of Massachusetts Dartmouth,2017,3,,2,0,0,0
00221810,Suffolk University,2011,23,19,,,,
00221810,Suffolk University,2012,7,29,,,,
00221810,Suffolk University,2013,6,33,,,,
00221810,Suffolk University,2014,4,37,,,,
00221810,Suffolk University,2015,3,43,,,,
00221810,Suffolk University,2016,0,21,,,,
00221810,Suffolk University,2017,2,,18,0,0,0
00222600,Western New England University,2011,2,22,,,,
00222600,Western New England University,2012,3,7,,,,
00222600,Western New England University,2013,2,4,,,,
00222600,Western New England University,2014,4,10,,,,
00222600,Western New England University,2015,3,13,,,,
